"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,female,45-54,not_delivering,ad,194,293,1.51030928,"7-day click or 1-day view",,,3.23,,2025-03-02,Ongoing,1,3.23,11.02389078,0.68259386,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,35-44,not_delivering,ad,214,290,1.35514019,"7-day click or 1-day view",,,2.21978365,,2025-03-02,Ongoing,1,2.21978365,7.65442637,0.68965517,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,female,18-24,inactive,ad,230,284,1.23478261,"7-day click or 1-day view",,,1.97,,2025-03-02,Ongoing,,,6.93661972,2.46478873,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,male,35-44,inactive,ad,212,265,1.25,"7-day click or 1-day view",,,3.53,,2025-03-02,Ongoing,2,1.765,13.32075472,1.50943396,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,18-24,active,ad,120,260,2.16666667,"7-day click or 1-day view",,,1.19003417,,2024-05-09,2025-04-30,1,1.19003417,4.57705451,0.76923077,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,45-54,not_delivering,ad,168,240,1.42857143,"7-day click or 1-day view",,,2.62974369,,2025-03-02,Ongoing,2,1.31487184,10.95726537,1.66666667,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,45-54,active,ad,101,211,2.08910891,"7-day click or 1-day view",,,3.86087807,,2024-05-09,2025-04-30,2,1.93043904,18.29800034,1.42180095,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,18-24,inactive,ad,158,196,1.24050633,"7-day click or 1-day view",,,0.89,,2024-05-09,2025-04-30,,,4.54081633,1.02040816,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,18-24,not_delivering,ad,134,195,1.45522388,"7-day click or 1-day view",,,1.1,,2025-03-02,Ongoing,5,0.22,5.64102564,4.1025641,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",PLUM||IFD-STOR-RL|IMG|sitting,unknown,25-34,inactive,ad,123,181,1.47154472,"7-day click or 1-day view",,,1.21,,2025-03-02,Ongoing,,,6.68508287,1.65745856,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,35-44,active,ad,99,165,1.66666667,"7-day click or 1-day view",,,2.05046633,,2024-05-09,2025-04-30,1,2.05046633,12.42706869,1.21212121,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,35-44,active,ad,125,156,1.248,"7-day click or 1-day view",,,1.4,,2024-05-09,2025-04-30,,,8.97435897,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,25-34,inactive,ad,137,154,1.12408759,"7-day click or 1-day view",,,1.21,,2025-03-02,Ongoing,3,0.40333333,7.85714286,1.94805195,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,35-44,inactive,ad,136,154,1.13235294,"7-day click or 1-day view",,,1.51,,2025-03-02,Ongoing,,,9.80519481,0,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",UGC|IFD-STOR-RL|VID|Clip1,female,45-54,inactive,ad,106,153,1.44339623,"7-day click or 1-day view",quoteReceived,1,2.98,2.98,2025-03-02,Ongoing,1,2.98,19.47712418,1.30718954,2025-03-01,2025-03-31
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM","LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL – NEW DAILY",HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,35-44,not_delivering,ad,92,149,1.61956522,"7-day click or 1-day view",,,1.32987038,,2025-03-02,Ongoing,1,1.32987038,8.92530458,0.67114094,2025-03-01,2025-03-31
