Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,25-34,active,ad,86,126,1.46511628,7-day click or 1-day view,,,0.85,,09/05/2024,30/04/2025,1,0.85,6.74603175,0.79365079,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,unknown,25-34,inactive,ad,84,120,1.42857143,7-day click or 1-day view,,,1.01941806,,09/05/2024,30/04/2025,,,8.49515048,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,male,35-44,active,ad,78,116,1.48717949,7-day click or 1-day view,,,0.93,,09/05/2024,30/04/2025,,,8.01724138,0.86206897,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,female,45-54,inactive,ad,78,113,1.44871795,7-day click or 1-day view,quoteReceived,1,2.2,2.2,09/05/2024,30/04/2025,2,1.1,19.46902655,2.65486726,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,female,45-54,inactive,ad,76,106,1.39473684,7-day click or 1-day view,,,1.18,,09/05/2024,30/04/2025,2,0.59,11.13207547,2.83018868,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,45-54,inactive,ad,55,106,1.92727273,7-day click or 1-day view,,,1.42828743,,09/05/2024,30/04/2025,,,13.47440967,0.94339623,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,male,35-44,active,ad,82,104,1.26829268,7-day click or 1-day view,,,0.93,,09/05/2024,30/04/2025,1,0.93,8.94230769,2.88461538,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,male,18-24,inactive,ad,64,97,1.515625,7-day click or 1-day view,,,0.62,,09/05/2024,30/04/2025,,,6.39175258,1.03092784,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,35-44,active,ad,52,88,1.69230769,7-day click or 1-day view,,,1.11,,09/05/2024,30/04/2025,,,12.61363636,0,01/02/2025,28/02/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,unknown,35-44,inactive,ad,68,88,1.29411765,7-day click or 1-day view,,,1.16,,09/05/2024,30/04/2025,1,1.16,13.18181818,2.27272727,01/02/2025,28/02/2025
