Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Reporting starts,Reporting ends
LDN|09.01|MID|RTG|LEADS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,65+,female,not_delivering,ad,193,273,1.41450777,7-day click or 1-day view,Meta leads,1,8.11,8.11,2025-01-09,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-BOIL|IFD-STOR-RL|IMG|green_cta_boiler,35-44,female,not_delivering,ad,827,977,1.18137848,7-day click or 1-day view,,,8.08,,2024-05-09,2024-12-22,2024-04-01,2025-04-08
03.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [NEW],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,Attributes creative image 1,45-54,female,not_delivering,ad,665,768,1.15488722,7-day click or 1-day view,,,7.99,,2024-03-19,Ongoing,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,35-44,unknown,not_delivering,ad,512,1286,2.51171875,7-day click or 1-day view,actions:visit_instagram_profile,85,7.94,0.09,2024-05-08,2024-12-30,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,55-64,female,not_delivering,ad,363,426,1.17355372,7-day click or 1-day view,Meta leads,3,7.86,2.62,2024-07-01,2024-12-22,2024-04-01,2025-04-08
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Broad_Ad Set 1_FB,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image - Copy,25-34,female,not_delivering,ad,1889,2146,1.13605082,7-day click or 1-day view,actions:visit_instagram_profile,49,7.84,0.16,2024-02-09,Ongoing,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.04 | Walworth,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,733,1048,1.42974079,7-day click or 1-day view,quoteReceived,2,7.75,3.88,2024-04-05,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,male,active,ad,666,921,1.38288288,7-day click or 1-day view,,,7.63,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,35-44,male,inactive,ad,464,807,1.73922414,7-day click or 1-day view,,,7.49,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
01.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective – Completed Quote,TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_July Ad2,25-34,female,not_delivering,ad,1154,1292,1.11958406,7-day click or 1-day view,,,7.46,,2023-11-23,Ongoing,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,male,not_delivering,ad,880,1046,1.18863636,7-day click or 1-day view,actions:visit_instagram_profile,54,7.45,0.14,2024-05-08,2024-12-30,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.07 | Peckham Rye,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,450,713,1.58444444,7-day click or 1-day view,,,7.45,,2024-04-05,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,35-44,male,active,ad,412,837,2.0315534,7-day click or 1-day view,quoteReceived,1,7.45,7.45,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|15.08|MID|PRS|QUOTE|ALL - Cold,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,45-54,female,not_delivering,ad,493,545,1.10547667,7-day click or 1-day view,,,7.35,,2024-05-09,2024-06-16,2024-04-01,2025-04-08
MH* 00.00 | TH | Followers Campaign (Cold Audience London),TH_ABO_Prospecting_Cold Audience_London_Broad_Ad Set 1_FB,TH_ABO_Prospecting_Cold Audience_London_Ad1_Single Image_Landing Page Change(How it works),35-44,female,not_delivering,ad,1528,1903,1.24541885,7-day click or 1-day view,actions:visit_instagram_profile,52,7.16,0.14,2024-02-09,Ongoing,2024-04-01,2025-04-08
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,TH_ABO_retargeting_warm Audience_Conversion-based Objective_Ad 1,25-34,female,not_delivering,ad,1059,1276,1.20491029,7-day click or 1-day view,,,7.13,,2023-04-13,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,18-24,female,inactive,ad,980,1076,1.09795918,7-day click or 1-day view,,,7.11,,2024-05-09,2024-10-31,2024-04-01,2025-04-08
MH* 04.00 | TH | Islington (Feed),04.10 | Tufnell Park,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,749,1086,1.44993324,7-day click or 1-day view,,,7.04,,2024-04-04,Ongoing,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,female,inactive,ad,764,1528,2,7-day click or 1-day view,,,7.03,,2024-07-01,2024-12-22,2024-04-01,2025-04-08
MH* 04.00 | TH | Islington (Feed),04.09 | Highgate,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,593,844,1.4232715,7-day click or 1-day view,,,7.01,,2024-04-04,Ongoing,2024-04-01,2025-04-08
02.00 | TH_ABO_Retargeting_Warm Audience_Conversion-based Objective [Old version of conv type],TH_ABO_Retargeting_Warm Audience_Conversion-based Objective_Ad Set 1,Attributes creative image 3,35-44,female,not_delivering,ad,547,667,1.21937843,7-day click or 1-day view,,,7.01,,2023-04-13,Ongoing,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.03 | Rotherhithe,Hyperlocal Grid Posts Design 3 |  Plumber,25-34,female,not_delivering,ad,458,1003,2.18995633,7-day click or 1-day view,,,7.01,,2024-04-05,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,unknown,inactive,ad,276,753,2.72826087,7-day click or 1-day view,,,6.96,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,35-44,male,not_delivering,ad,512,849,1.65820312,7-day click or 1-day view,,,6.91,,2024-05-09,2024-10-31,2024-04-01,2025-04-08
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,not_delivering,ad,996,1147,1.15160643,7-day click or 1-day view,actions:visit_instagram_profile,64,6.90,0.11,2024-05-08,2024-12-30,2024-04-01,2025-04-08
MH* 07.00 | TH | Southwark (Feed),04.02 | Bermondsey,Hyperlocal Grid Posts Design 3 |  Plumber,35-44,female,not_delivering,ad,529,734,1.38752363,7-day click or 1-day view,quoteReceived,1,6.86,6.86,2024-04-05,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,35-44,male,inactive,ad,376,694,1.84574468,7-day click or 1-day view,,,6.84,,2024-05-09,2025-04-30,2024-04-01,2025-04-08
MH* 04.00 | TH | Islington (Feed),04.02 | Highbury,Hyperlocal Grid Posts Design 1 |  Electrician,25-34,female,not_delivering,ad,493,843,1.70993915,7-day click or 1-day view,,,6.83,,2024-04-04,Ongoing,2024-04-01,2025-04-08
MH* 04.00 | TH | Islington (Feed),04.04 | Clerkenwell,Hyperlocal Grid Posts Design 1 |  Electrician,25-34,female,not_delivering,ad,483,975,2.01863354,7-day click or 1-day view,,,6.83,,2024-04-04,Ongoing,2024-04-01,2025-04-08
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,18-24,female,active,ad,624,1217,1.95032051,7-day click or 1-day view,quoteReceived,4,6.79,1.70,2024-05-09,2025-04-30,2024-04-01,2025-04-08
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,55-64,female,not_delivering,ad,222,249,1.12162162,7-day click or 1-day view,Meta leads,5,6.77,1.35,2024-07-01,2024-12-22,2024-04-01,2025-04-08
