Campaign name,Ad set name,Ad name,Amount spent (GBP),Impressions,"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Adds to cart,Reporting starts,Reporting ends
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,VID - WE TOOK LINGERIE - V2 - 365088676306286 – Copy,15.90,4307,3.69166473,31,0.51290323,0.71975853,,,,,2,2024-01-01,2024-12-31
PN | T/M/BOF - US,LAL CL 1-3%,VID - IT'S MONTHLY ME TIME - V2 - 365088586306295 – Copy,15.89,2103,7.55587256,15,1.05933333,0.71326676,1,15.89,48.09,3.02643172,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,LAL CL 1-3%,VID - IT'S MONTHLY ME TIME - V2 - 365088586306295 – Copy,15.03,2583,5.81881533,10,1.503,0.38714673,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,Dynamic Collection - Video Hero,14.97,1622,9.22934649,24,0.62375,1.47965475,,,,,2,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Switzerland Campaign,SW | Advantage+ Sales | Subscription | Switzerland Ad Set,Video - Oct Unboxing – Copy 3,14.92,1160,12.86206897,21,0.71047619,1.81034483,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,UK RTGing | CPR Cap 22,Dynamic Collection - Static 2 Hero,14.84,2755,5.38656987,13,1.14153846,0.47186933,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: BEAUTY BRANDS,CAROUSEL 1 - V4 – Copy,14.78,3213,4.60006225,6,2.46333333,0.18674136,2,7.39,62,4.19485792,1,2024-01-01,2024-12-31
PN | T/M/BOF - US,BROAD - FEMALE 18 - 45,CAROUSEL 2 - V2 - 365088956306258 – Copy,14.68,1806,8.12846069,11,1.33454545,0.60908084,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,VID - SUBSCRIPTION BOX - V2 - 389185397229947 – Copy,14.17,2346,6.0400682,12,1.18083333,0.51150895,3,4.72333333,101,7.12773465,,2024-01-01,2024-12-31
SW | Custom Retargeting | All GEOs,Retargeting EU (Engaged Shoppers),Dynamic Carousel,14.04,4821,2.91225887,40,0.351,0.82970338,,,,,5,2024-01-01,2024-12-31
SW | Retargeting - Sales | All GEOs,"UK - ATC, IC, Payment Info (excluding Purchasers)",Unlock Self Love,13.71,451,30.39911308,2,6.855,0.44345898,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,INT STACK: SHOPPING,POST - MAY BOX – Copy,13.59,3517,3.86408871,23,0.59086957,0.65396645,,,,,1,2024-01-01,2024-12-31
SW | Catalogue Sales & RTG | All GEOs,Re-Targeting - EU,Dynamic Collection - July Set – Copy,13.21,1722,7.67131243,10,1.321,0.58072009,,,,,,2024-01-01,2024-12-31
SW | CBO | COST PER RESULT GOAL | £15 CPRG | £50,INT STACK: ALL INTERESTS COMBINED,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,12.59,2452,5.13458401,18,0.69944444,0.73409462,1,12.59,31,2.46227164,1,2024-01-01,2024-12-31
SW | Retargeting & Catalogue 2 | All GEOs,Retargeting UK,Dynamic Collection - Static 3 Obsession – Copy,12.53,2203,5.68769859,6,2.08833333,0.27235588,,,,,2,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - ENG LAL 1-3%,POST - LINGERIE ON ITS OWN ISNT ENOUGH - V4 - 414320178049802 – Copy,12.35,3406,3.6259542,31,0.3983871,0.91015854,,,,,4,2024-01-01,2024-12-31
SW | BE - Sales - Black Friday Campaign Campaign,SW | BE - Sales - Black Friday Campaign Ad Set,Collection BF,12.30,1694,7.2609209,23,0.53478261,1.35773318,,,,,3,2024-01-01,2024-12-31
SW | Retargeting - Sales | All GEOs,"UK - ATC, IC, Payment Info (excluding Purchasers)",Cherry Set 10% Off,12.14,479,25.34446764,2,6.07,0.41753653,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,INT STACK: TV SHOWS,POST - MAY SUBSCRIBE,11.95,1568,7.62117347,5,2.39,0.31887755,,,,,,2024-01-01,2024-12-31
PN | ADVANTAGE PLUS  Campaign - US CAMPAIGN Campaign,PN | ADVANTAGE PLUS  Campaign - US CAMPAIGN Ad Set,VID - ASMR UNBOXING - 370017892480031,11.80,1185,9.95780591,18,0.65555556,1.51898734,,,,,8,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,BROAD - FEMALE - 18-45,COLL - TYPING VIDEO - V1 – Copy,11.79,1794,6.57190635,11,1.07181818,0.61315496,1,11.79,31,2.6293469,1,2024-01-01,2024-12-31
SW | Cherry Rodeo - Sales (Purchases) | UK & EU,Advantage Plus (Exc. Existing Customers),Video - Cherry Duo,11.73,2812,4.17140825,25,0.4692,0.88904694,,,,,,2024-01-01,2024-12-31
SW | Collection Sales | EU | CPR Cap | June 24,EU - RTGing,POST - BEST SET,11.65,3424,3.40245327,21,0.5547619,0.61331776,,,,,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,ENG RTG STACK,POST - APRIL BOX REVEAL – Copy,11.55,2620,4.40839695,12,0.9625,0.45801527,1,11.55,31,2.68398268,1,2024-01-01,2024-12-31
SW | Collection Sales | UK | CPR Cap 25  | June 24,Interest: Lingerie & Stores | CPR Cap 25,POST - APRIL BOX REVEAL – Copy,11.34,2754,4.11764706,8,1.4175,0.29048656,3,3.78,104.35,9.20194004,,2024-01-01,2024-12-31
SW | Advantage+ & LAL GIFTING | UK,Interest: Lingerie & Stores (Men),Gifting -Carousel (Men),11.24,919,12.23068553,23,0.48869565,2.50272035,1,11.24,45,4.00355872,1,2024-01-01,2024-12-31
SW | Advantage+ Sales | Subscription | Switzerland Campaign,SW | Advantage+ Sales | Subscription | Switzerland Ad Set,Video - Unboxing - Nov,11.21,1265,8.86166008,15,0.74733333,1.18577075,,,,,,2024-01-01,2024-12-31
