age,gender,delivery_status,reach,impressions,frequency,result_type,results,amount_spent_(gbp),starts,ends,campaign_location,campaign_date,campaign_funnel,campaign_goal,campaign_tactic,campaign_description,adset_location,adset_age,adset_audiencesegment,adset_audiencedetail,adset_platform,adset_placement,ad_service,ad_assettype,ad_description
1,0,1,2879,5376,1.86731504,4,6.0,60.49,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.08184143222506395
2,0,1,3860,4556,1.18031088,4,5.0,60.21,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
1,0,1,5183,6035,1.16438356,4,5.0,58.27,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
1,0,2,3336,6437,1.92955635,4,6.0,58.0,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.030690537084398978,0,0.011508951406649617
2,0,2,6143,14729,2.39768843,1,132.0,55.56,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
4,0,1,888,2249,2.53265766,4,6.0,54.7,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
2,0,2,6134,7855,1.28056733,4,4.0,53.25,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.034526854219948847
2,0,2,2280,4419,1.93815789,4,5.0,52.9,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.030690537084398978,0,0.011508951406649617
2,0,2,2436,3290,1.35057471,4,2.0,52.41,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.08184143222506395
4,0,1,924,2627,2.84307359,4,1.0,52.02,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.04028132992327366
2,0,1,3224,4988,1.5471464,4,2.0,50.28,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.04028132992327366
1,1,1,2312,4893,2.11634948,4,1.0,48.69,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
3,0,1,1391,3224,2.31775701,4,2.0,48.61,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.06010230179028133
1,0,2,2892,3969,1.37240664,3,0.0,47.5,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.08184143222506395
2,1,1,1496,3365,2.24933155,4,3.0,47.34,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
3,0,1,1828,2359,1.2904814,4,3.0,46.91,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,2,2722,4557,1.67413666,4,3.0,46.61,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.015345268542199489,0,0.04283887468030691
1,0,2,3647,6069,1.66410749,4,5.0,45.94,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.015345268542199489,0,0.04283887468030691
1,0,1,4024,5813,1.4445825,4,2.0,45.92,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.04028132992327366
1,0,0,1850,3661,1.97891892,4,5.0,45.02,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.043478260869565216
2,0,1,2047,3287,1.60576453,4,2.0,44.64,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.049872122762148335
4,0,2,1104,2961,2.68206522,4,3.0,44.4,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
2,0,1,2801,3154,1.12602642,3,0.0,43.68,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
4,0,1,832,2733,3.28485577,4,1.0,42.78,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
1,0,1,2319,3541,1.52695127,4,2.0,42.67,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,1,1493,2464,1.65036839,4,7.0,42.56,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
1,0,2,3317,5891,1.77600241,3,0.0,42.35,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.015345268542199489,0,0.015345268542199489
2,0,2,2570,4556,1.77276265,4,1.0,42.1,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.015345268542199489,0,0.015345268542199489
1,0,1,2265,3858,1.70331126,4,2.0,41.47,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.049872122762148335
1,1,2,5042,6528,1.29472432,0,346.0,40.14,0,3,0,0,1,0,1,3,2,1,2,6,1,0,0.44181585677749363,1,0.07289002557544758
2,0,0,2529,3701,1.46342428,4,5.0,40.13,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.015345268542199489,0,0.04283887468030691
2,1,1,2036,2673,1.31286837,4,3.0,39.61,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,1,2,3727,8394,2.25221358,1,84.0,39.23,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
1,0,0,3234,4533,1.40166976,4,6.0,38.26,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.015345268542199489,0,0.04283887468030691
1,2,2,3264,7304,2.2377451,0,381.0,38.1,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
1,1,1,1376,3189,2.31758721,4,4.0,37.43,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
0,2,2,2944,7791,2.64639946,0,355.0,37.2,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
1,1,1,2516,3039,1.20786963,4,6.0,37.03,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
4,0,2,2384,3509,1.47189597,4,3.0,35.13,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.04283887468030691
0,0,1,2201,6789,3.08450704,4,1.0,34.75,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
5,0,1,1680,2937,1.74821429,4,4.0,33.83,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.023017902813299233,0,0.04283887468030691
0,0,1,1584,4364,2.75505051,4,3.0,32.43,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
3,0,2,2943,6155,2.09140333,1,55.0,31.64,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
2,1,1,792,2033,2.56691919,4,5.0,31.55,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
3,0,1,1240,2122,1.71129032,4,3.0,30.82,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.05754475703324808
3,0,1,1340,2183,1.62910448,3,0.0,30.15,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.04028132992327366
0,2,2,2336,8280,3.54452055,1,51.0,30.09,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
3,0,2,1968,2625,1.33384146,3,0.0,29.75,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.021739130434782608
1,1,2,3682,4487,1.21863118,0,270.0,29.74,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.20012787723785166,1,0.06905370843989769
0,0,2,2896,4284,1.47928177,4,1.0,29.47,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
5,0,1,736,1262,1.71467391,2,10.0,29.34,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
4,0,2,1968,4305,2.1875,1,72.0,29.26,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
2,0,1,1427,1936,1.35669236,3,0.0,29.21,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.20012787723785166,1,0.08184143222506395
2,1,2,2720,4248,1.56176471,0,250.0,28.89,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.44181585677749363,1,0.07289002557544758
4,0,1,940,1244,1.32340426,4,2.0,28.87,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
3,0,1,2383,2985,1.25262274,4,1.0,28.53,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.021739130434782608,0,0.034526854219948847
0,0,1,2616,3732,1.4266055,2,13.0,27.52,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
3,1,2,1152,1523,1.32204861,4,1.0,27.38,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
4,0,1,600,1181,1.96833333,4,1.0,27.36,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
0,1,2,3249,4780,1.47122191,0,265.0,27.02,0,3,0,0,1,0,1,3,2,1,3,1,1,0,0.20012787723785166,1,0.06905370843989769
1,1,1,1180,2509,2.12627119,4,3.0,26.95,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
0,1,2,3697,5279,1.42791453,0,229.0,26.66,0,3,0,0,1,0,1,3,2,1,2,6,1,0,0.44181585677749363,1,0.07289002557544758
5,0,2,752,1317,1.75132979,4,2.0,25.8,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
3,0,1,1044,2044,1.95785441,4,2.0,25.4,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.058823529411764705
2,1,2,1272,2688,2.11320755,4,2.0,25.17,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
3,0,1,1424,2800,1.96629213,4,5.0,24.02,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.04283887468030691
1,2,2,1728,5351,3.09664352,1,47.0,23.82,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
2,0,1,1750,2515,1.43714286,3,0.0,23.19,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.05115089514066496,0,0.015345268542199489
1,1,1,1175,1908,1.62382979,4,1.0,22.84,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,2,2433,3242,1.3325113,0,198.0,22.48,0,3,0,0,1,0,1,3,2,1,2,6,1,0,0.44181585677749363,1,0.07289002557544758
1,2,1,616,2352,3.81818182,4,2.0,22.43,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
2,1,1,732,1709,2.33469945,4,2.0,22.32,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
1,0,2,2612,3180,1.21745789,3,0.0,22.15,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.010869565217391304,0,0.03388746803069054
1,0,2,2657,4012,1.50997365,0,194.0,22.06,0,3,0,0,1,0,1,3,2,1,5,3,1,0,0.44181585677749363,1,0.07289002557544758
4,0,1,648,979,1.51080247,4,2.0,22.04,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.44181585677749363,1,0.011508951406649617
3,0,2,754,1092,1.44827586,2,3.0,21.29,5,5,0,3,0,2,2,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
0,0,2,2305,4217,1.82950108,0,209.0,20.88,0,3,0,0,1,0,1,3,2,1,5,3,1,0,0.44181585677749363,1,0.07289002557544758
1,0,1,1361,1784,1.31080088,3,0.0,20.78,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.20012787723785166,1,0.08184143222506395
3,0,1,572,933,1.63111888,4,1.0,20.02,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
2,0,2,852,1267,1.4870892,2,3.0,19.76,5,5,0,3,0,2,2,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
2,2,1,352,1346,3.82386364,4,2.0,19.24,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
3,0,2,778,984,1.26478149,4,1.0,19.22,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.20012787723785166,1,0.08184143222506395
1,0,1,1834,2687,1.4651036,4,1.0,19.05,6,5,0,2,0,2,3,5,2,0,4,4,1,1,0.05115089514066496,0,0.015345268542199489
3,0,1,960,1084,1.12916667,3,0.0,18.94,1,1,1,0,0,1,3,4,3,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
4,0,2,563,811,1.44049734,2,1.0,18.8,5,5,0,3,0,2,2,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
1,1,2,1132,2349,2.07508834,4,2.0,18.78,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.023017902813299233
4,0,1,532,1001,1.88157895,4,1.0,18.71,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.06010230179028133
5,0,2,1168,2616,2.23972603,1,34.0,18.2,4,5,0,5,0,3,0,1,2,2,4,5,1,0,0.023017902813299233,1,0.023017902813299233
2,1,1,744,1260,1.69354839,3,0.0,18.05,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.20012787723785166,1,0.06905370843989769
1,1,1,1548,3139,2.02777778,4,1.0,17.93,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.02877237851662404,0,0.04283887468030691
3,0,2,658,1304,1.98176292,3,0.0,17.77,2,2,1,0,0,1,3,4,0,1,1,0,1,0,0.030690537084398978,0,0.011508951406649617
0,2,2,2112,3228,1.52840909,1,227.0,17.46,3,2,0,1,0,3,0,6,2,1,0,2,0,2,0.44181585677749363,1,0.07289002557544758
0,0,1,1080,2275,2.10648148,4,1.0,17.45,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.20012787723785166,1,0.06905370843989769
1,1,0,1432,2463,1.71997207,4,2.0,17.31,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.015345268542199489
3,0,1,804,896,1.11442786,3,0.0,17.14,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.44181585677749363,1,0.0038363171355498722
5,0,1,216,752,3.48148148,3,0.0,17.07,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,1,0.07289002557544758
0,0,2,2839,3438,1.21098979,4,1.0,16.99,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.034526854219948847
2,1,0,1152,1895,1.64496528,4,1.0,16.9,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.015345268542199489
3,0,0,704,1327,1.88494318,4,1.0,16.84,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.05115089514066496,0,0.015345268542199489
2,1,1,832,1037,1.24639423,2,5.0,16.81,2,2,0,0,1,1,2,2,2,1,1,0,1,0,0.44181585677749363,1,0.07289002557544758
3,0,2,1647,2158,1.31026108,4,2.0,16.43,1,2,1,0,0,1,3,4,1,1,1,0,1,0,0.030051150895140665,0,0.034526854219948847
1,2,1,672,2588,3.85119048,3,0.0,16.1,1,4,0,2,0,2,3,5,2,0,4,4,1,0,0.44181585677749363,0,0.024936061381074168
