Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,female,inactive,ad,10689,19518,1.82598933,7-day click or 1-day view,quoteReceived,2,106.94,53.47,2024-05-09,2024-12-22,68,1.57259103,5.47884978,1.26549851,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,active,ad,7903,13137,1.66228015,7-day click or 1-day view,quoteReceived,14,105.97,7.57,2024-05-09,2025-04-30,56,1.89232143,8.06652965,1.09614067,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|purple_sink,35-44,female,not_delivering,ad,7918,10816,1.36600152,7-day click or 1-day view,quoteReceived,12,105.89,8.82,2024-05-09,2024-12-22,45,2.35307013,9.78995522,0.90606509,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|Interest|VariousTrades|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,25-34,female,not_delivering,ad,14669,18960,1.29252164,7-day click or 1-day view,actions:visit_instagram_profile,938,105.22,0.11,2024-05-08,2024-12-30,938,0.11217371,5.54952227,4.97890295,2024-04-01,2025-04-20
LDN|01.10|UPP|PRS|LEADS|ALL - FORM,LDN|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,55-64,female,inactive,ad,2744,4249,1.54846939,7-day click or 1-day view,Meta leads,41,99.82,2.43,2024-07-01,2024-12-22,124,0.80500556,23.49274884,5.29536361,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,25-34,female,inactive,ad,4494,10038,2.23364486,7-day click or 1-day view,quoteReceived,5,98.25,19.65,2024-05-09,2025-04-30,54,1.81948205,9.78800865,1.10579797,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,25-34,female,inactive,ad,5914,12121,2.04954346,7-day click or 1-day view,quoteReceived,11,96.43,8.77,2024-05-09,2025-04-30,29,3.32522941,7.95575058,0.8745153,2024-04-01,2025-04-20
LDN|01.10|UPP|BAW|FAN|ALL - IGFollower,LDN|ALL|18-55|LAL|Followers&WebsiteVisitors|IG|ALL,GEN|IFD-STOR-RL|VID|tradeplaces,18-24,male,not_delivering,ad,9247,18283,1.97718179,7-day click or 1-day view,actions:visit_instagram_profile,817,96.17,0.12,2024-05-08,2024-12-30,823,0.11685612,5.26021909,4.48504075,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,35-44,female,inactive,ad,4619,9321,2.01796926,7-day click or 1-day view,quoteReceived,7,94.43,13.49,2024-05-09,2025-04-30,36,2.62310627,10.13108313,0.95483317,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,25-34,female,inactive,ad,6327,8210,1.2976134,7-day click or 1-day view,quoteReceived,3,94.30,31.43,2024-05-09,2024-12-22,67,1.40750563,11.48634317,2.05846529,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-PLUM|IFD-STOR-RL|IMG|green_cta_tap,25-34,female,inactive,ad,10852,13681,1.26068927,7-day click or 1-day view,quoteReceived,2,94.02,47.01,2024-05-09,2024-10-31,31,3.03274703,6.87195072,0.62860902,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,UGC|IFD-STOR-RL|VID|Clip3,35-44,female,inactive,ad,4672,6076,1.3005137,7-day click or 1-day view,quoteReceived,4,93.91,23.48,2024-05-09,2024-12-22,54,1.73912791,15.45637045,1.95852535,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-PLUM|IFD-STOR-RL|IMG|green_cta_tap,25-34,female,not_delivering,ad,12180,15557,1.2772578,7-day click or 1-day view,quoteReceived,10,92.74,9.27,2024-05-09,2024-12-22,37,2.50642753,5.96116338,0.82920872,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,25-34,female,inactive,ad,7218,15558,2.15544472,7-day click or 1-day view,quoteReceived,6,90.98,15.16,2024-07-01,2024-12-22,44,2.0677728,5.84792411,0.79701761,2024-04-01,2025-04-20
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,25-34,male,not_delivering,ad,10094,25618,2.53794333,7-day click or 1-day view,Link clicks,195,90.68,0.47,2024-12-17,Ongoing,195,0.46500806,3.53956481,0.8002186,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,HACKNEY|ALL|18-55|COLD|Broad|IG|ALL,HACK-ELEC|IFD-STOR-RL|IMG|green_bulb,45-54,female,not_delivering,ad,2324,6444,2.77280551,7-day click or 1-day view,quoteReceived,13,88.88,6.84,2024-07-01,2024-12-22,35,2.53936026,13.79230433,1.44320298,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,35-44,female,inactive,ad,4362,8515,1.9520862,7-day click or 1-day view,quoteReceived,10,88.64,8.86,2024-05-09,2025-04-30,43,2.06144784,10.41013001,1.09219025,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM|IFD-STOR-RL|IMG|review_tap_plummer,25-34,female,inactive,ad,5510,10657,1.93411978,7-day click or 1-day view,quoteReceived,8,87.23,10.90,2024-05-09,2025-04-30,38,2.29560987,8.18552828,1.229239,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,35-44,female,inactive,ad,4082,7659,1.87628613,7-day click or 1-day view,quoteReceived,7,87.16,12.45,2024-05-09,2025-04-30,41,2.12588717,11.38025514,1.08369239,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,45-54,female,not_delivering,ad,6143,9564,1.55689403,7-day click or 1-day view,quoteReceived,5,80.50,16.10,2024-05-09,2024-10-31,31,2.59670656,8.41676113,0.51233793,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,GEN|IFD-STOR-RL|VID|TradePlacesS,25-34,female,inactive,ad,6836,8131,1.18943827,7-day click or 1-day view,quoteReceived,2,79.55,39.77,2024-05-09,2024-10-31,117,0.67987626,9.78299377,3.75107613,2024-04-01,2025-04-20
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,18-24,female,not_delivering,ad,9982,24534,2.45782408,7-day click or 1-day view,Link clicks,180,77.93,0.43,2024-12-17,Ongoing,180,0.43293588,3.17634544,0.79481536,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,18-24,female,not_delivering,ad,9135,15532,1.70027367,7-day click or 1-day view,quoteReceived,3,77.55,25.85,2024-05-09,2024-10-31,54,1.43608049,4.9928114,0.90780324,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,35-44,female,inactive,ad,2801,5313,1.89682256,7-day click or 1-day view,quoteReceived,4,77.46,19.37,2024-05-09,2025-04-30,40,1.9365,14.57933371,1.71277997,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,ISLINGTON|ALL|18-55|COLD|Broad|IG|ALL,ISL-ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,55-64,female,inactive,ad,3488,5517,1.58170872,7-day click or 1-day view,quoteReceived,5,76.79,15.36,2024-05-09,2024-12-22,42,1.82843917,13.91960217,1.66757296,2024-04-01,2025-04-20
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,18-24,male,not_delivering,ad,9918,25148,2.53559185,7-day click or 1-day view,Link clicks,172,76.17,0.44,2024-12-17,Ongoing,172,0.44284139,3.02881819,0.7435979,2024-04-01,2025-04-20
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|jobdone_sink_purple_cta,25-34,female,inactive,ad,4618,8573,1.85643136,7-day click or 1-day view,quoteReceived,9,75.71,8.41,2024-05-09,2025-04-30,30,2.52354835,8.83080024,1.03814301,2024-04-01,2025-04-20
LOC|01.10|MID|PRS|QUOTE|ALL- Islington&Southwark&Hackney,SOUTHWARK|ALL|18-55|COLD|Broad|IG|ALL,STW-PLUM|IFD-STOR-RL|IMG|green_cta_tap,35-44,female,inactive,ad,6678,9242,1.38394729,7-day click or 1-day view,quoteReceived,1,73.95,73.95,2024-05-09,2024-10-31,22,3.36138453,8.00156456,0.70331097,2024-04-01,2025-04-20
