Campaign name,Ad set name,Ad name,Gender,Age,Delivery status,Delivery level,Reach,Impressions,Frequency,Attribution setting,Result Type,Results,Amount spent (GBP),Cost per result,Starts,Ends,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Reporting starts,Reporting ends
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,female,45-54,inactive,ad,196,561,2.8622449,7-day click or 1-day view,,,7.98822207,,09/05/2024,30/04/2025,7,1.14117458,14.23925503,2.13903743,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,UGC|IFD-STOR-RL|VID|Clip1,female,18-24,inactive,ad,320,559,1.746875,7-day click or 1-day view,,,3.97940204,,09/05/2024,30/04/2025,4,0.99485051,7.1187872,2.50447227,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|greentextonly,male,35-44,inactive,ad,282,543,1.92553191,7-day click or 1-day view,quoteReceived,1,5.55619959,5.55619959,09/05/2024,30/04/2025,4,1.3890499,10.23241177,0.92081031,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,18-24,not_delivering,ad,296,518,1.75,7-day click or 1-day view,Link clicks,1,1.47981795,1.47981795,17/12/2024,Ongoing,1,1.47981795,2.85679141,0.38610039,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,35-44,inactive,ad,323,469,1.45201238,7-day click or 1-day view,,,4.6854817,,09/05/2024,30/04/2025,1,4.6854817,9.99036609,0.63965885,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|IMG|cta_purple_bulb,female,25-34,inactive,ad,289,420,1.4532872,7-day click or 1-day view,,,3.57655106,,09/05/2024,30/04/2025,2,1.78827553,8.51559776,1.19047619,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|reviews,female,18-24,inactive,ad,176,374,2.125,7-day click or 1-day view,,,2.97933689,,09/05/2024,30/04/2025,,,7.96614143,0.26737968,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,35-44,active,ad,258,323,1.25193798,7-day click or 1-day view,,,3.7,,09/05/2024,30/04/2025,4,0.925,11.45510836,1.23839009,01/01/2025,31/01/2025
LDN|02.04|MID|RTG|QUOTE|ALL - WARM,LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,25-34,active,ad,244,310,1.2704918,7-day click or 1-day view,,,3.23,,09/05/2024,30/04/2025,,,10.41935484,1.29032258,01/01/2025,31/01/2025
LDN|17.12|MID|TFK|CLICKS|ALL - CROWDF,LDN|ALL|18-65+|RTG|IGFollowers&Engagers&WebV|IG|ALL,CROWD|IFD-STOR-RL|VID|invest,unknown,25-34,not_delivering,ad,144,299,2.07638889,7-day click or 1-day view,Link clicks,1,0.91988683,0.91988683,17/12/2024,Ongoing,1,0.91988683,3.0765446,0.66889632,01/01/2025,31/01/2025
