"Campaign name","Ad set name","Ad name",Gender,Age,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result Type",Results,"Amount spent (GBP)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Reporting starts","Reporting ends"
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,35-44,inactive,ad,28,29,1.03571429,"7-day click or 1-day view",,,0.18,,2024-05-09,2025-04-30,,,6.20689655,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,45-54,inactive,ad,19,21,1.10526316,"7-day click or 1-day view",,,0.29,,2024-05-09,2025-04-30,,,13.80952381,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,female,18-24,inactive,ad,16,16,1,"7-day click or 1-day view",,,0.11,,2024-05-09,2025-04-30,,,6.875,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,35-44,inactive,ad,13,15,1.15384615,"7-day click or 1-day view",,,0.16,,2024-05-09,2025-04-30,,,10.66666667,6.66666667,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,PLUM||IFD-STOR-RL|IMG|sitting,unknown,45-54,active,ad,12,12,1,"7-day click or 1-day view",,,0.09,,2024-05-09,2025-04-30,,,7.5,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,25-34,inactive,ad,11,11,1,"7-day click or 1-day view",,,0.08,,2024-05-09,2025-04-30,,,7.27272727,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,25-34,active,ad,7,9,1.28571429,"7-day click or 1-day view",,,0.24,,2024-05-09,2025-04-30,,,26.66666667,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,female,45-54,active,ad,3,5,1.66666667,"7-day click or 1-day view",,,0.11,,2024-05-09,2025-04-30,,,22,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,male,35-44,active,ad,4,4,1,"7-day click or 1-day view",,,0.06,,2024-05-09,2025-04-30,,,15,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,18-24,inactive,ad,3,3,1,"7-day click or 1-day view",,,0.02,,2024-05-09,2025-04-30,,,6.66666667,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,45-54,inactive,ad,2,2,1,"7-day click or 1-day view",,,0.05,,2024-05-09,2025-04-30,,,25,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,ELEC|IFD-STOR-RL|IMG|purple_cta_bulb,unknown,45-54,active,ad,2,2,1,"7-day click or 1-day view",,,0.01,,2024-05-09,2025-04-30,,,5,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,unknown,18-24,inactive,ad,1,1,1,"7-day click or 1-day view",,,0,,2024-05-09,2025-04-30,,,0,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,HEAT|IFD-STOR-RL|IMG|cta_fixingheating,male,45-54,inactive,ad,1,1,1,"7-day click or 1-day view",,,0.01,,2024-05-09,2025-04-30,,,10,0,2025-04-06,2025-04-12
"LDN|02.04|MID|RTG|QUOTE|ALL - WARM",LDN|ALL|18-45|RTG|IGFollowers&Engagers|IG|ALL,GEN|IFD-STOR-RL|VID|introvideo,unknown,25-34,active,ad,1,1,1,"7-day click or 1-day view",,,0,,2024-05-09,2025-04-30,,,0,0,2025-04-06,2025-04-12
